study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias
PRJEB7673	SAMEA3110349	ERS577577	ERX623620	ERR668315	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668315/ERR668315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668315/ERR668315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668315/ERR668315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668315/ERR668315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/NS116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668315	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668315			NS116
PRJEB7673	SAMEA3110350	ERS577578	ERX623621	ERR668316	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668316/ERR668316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668316/ERR668316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668316/ERR668316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668316/ERR668316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD03_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD03_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668316	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668316			MD03
PRJEB7673	SAMEA3110351	ERS577579	ERX623622	ERR668317	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668317/ERR668317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668317/ERR668317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668317/ERR668317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668317/ERR668317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD72_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD72_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD72_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD72_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668317	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668317			MD72
PRJEB7673	SAMEA3110352	ERS577580	ERX623623	ERR668318	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668318/ERR668318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668318/ERR668318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668318/ERR668318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668318/ERR668318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668318	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668318			MD146
PRJEB7673	SAMEA3110353	ERS577581	ERX623624	ERR668319	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668319/ERR668319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668319/ERR668319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668319/ERR668319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668319/ERR668319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668319	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668319			MD197
PRJEB7673	SAMEA3110354	ERS577582	ERX623625	ERR668320	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668320/ERR668320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668320/ERR668320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668320/ERR668320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668320/ERR668320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668320	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668320			MD201
PRJEB7673	SAMEA3110355	ERS577583	ERX623626	ERR668321	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668321/ERR668321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668321/ERR668321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668321/ERR668321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668321/ERR668321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668321	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668321			MD224
PRJEB7673	SAMEA3110356	ERS577584	ERX623627	ERR668322	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668322/ERR668322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668322/ERR668322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668322/ERR668322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668322/ERR668322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225a_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225a_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225a_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225a_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668322	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668322			MD225
PRJEB7673	SAMEA3110357	ERS577585	ERX623628	ERR668323	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668323/ERR668323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668323/ERR668323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668323/ERR668323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668323/ERR668323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225b_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225b_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225b_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD225b_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668323	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668323			MD225
PRJEB7673	SAMEA3110358	ERS577586	ERX623629	ERR668324	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668324/ERR668324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668324/ERR668324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668324/ERR668324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668324/ERR668324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668324	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668324			MD235
PRJEB7673	SAMEA3110359	ERS577587	ERX623630	ERR668325	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668325/ERR668325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668325/ERR668325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668325/ERR668325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668325/ERR668325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668325	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668325			MD238
PRJEB7673	SAMEA3110360	ERS577588	ERX623631	ERR668326	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668326/ERR668326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668326/ERR668326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668326/ERR668326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668326/ERR668326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668326	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668326			MD243
PRJEB7673	SAMEA3110361	ERS577589	ERX623632	ERR668327	7240	Drosophila simulans	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668327/ERR668327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668327/ERR668327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668327/ERR668327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/ERR668327/ERR668327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA375/ERA375343/fastq/MD255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668327	ftp.sra.ebi.ac.uk/vol1/err/ERR668/ERR668327			MD255
