study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias
PRJNA215932	SAMN02691632	SRS579544	SRX497563	SRR1943285	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1943285/SRR1943285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1943285/SRR1943285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1943285/SRR1943285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1943285/SRR1943285_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/005/SRR1943285	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/005/SRR1943285			MD73
PRJNA215932	SAMN02691633	SRS579545	SRX497564	SRR1943286	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943286/SRR1943286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943286/SRR1943286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943286/SRR1943286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1943286/SRR1943286_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/006/SRR1943286	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/006/SRR1943286			MD106
PRJNA215932	SAMN02691634	SRS579546	SRX497565	SRR1943287	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943287/SRR1943287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943287/SRR1943287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943287/SRR1943287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1943287/SRR1943287_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/007/SRR1943287	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/007/SRR1943287			NS67
PRJNA215932	SAMN02691672	SRS579550	SRX497571	SRR1943288	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943288/SRR1943288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943288/SRR1943288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943288/SRR1943288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1943288/SRR1943288_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/008/SRR1943288	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/008/SRR1943288			NS50
PRJNA215932	SAMN02691673	SRS579551	SRX497572	SRR1943289	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943289/SRR1943289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943289/SRR1943289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943289/SRR1943289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1943289/SRR1943289_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR1943289	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/009/SRR1943289			NS113
PRJNA215932	SAMN02691674	SRS579552	SRX497573	SRR1943290	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943290/SRR1943290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943290/SRR1943290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943290/SRR1943290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1943290/SRR1943290_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/000/SRR1943290	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/000/SRR1943290			NS78
PRJNA215932	SAMN02691675	SRS579553	SRX497574	SRR1943291	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943291/SRR1943291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943291/SRR1943291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943291/SRR1943291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1943291/SRR1943291_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/001/SRR1943291	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/001/SRR1943291			MD15
PRJNA215932	SAMN02691676	SRS579554	SRX497575	SRR1943292	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943292/SRR1943292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943292/SRR1943292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943292/SRR1943292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1943292/SRR1943292_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/002/SRR1943292	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/002/SRR1943292			NS33
PRJNA215932	SAMN02691686	SRS579555	SRX497576	SRR1943293	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943293/SRR1943293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943293/SRR1943293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943293/SRR1943293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1943293/SRR1943293_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/003/SRR1943293	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/003/SRR1943293			NS79
PRJNA215932	SAMN02691622	SRS579532	SRX497551	SRR1943294	7240	Drosophila simulans	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943294/SRR1943294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943294/SRR1943294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943294/SRR1943294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1943294/SRR1943294_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR1943294	ftp.sra.ebi.ac.uk/vol1/srr/SRR194/004/SRR1943294			MD06
